Date,Currency,Rate,BaseCurrency,Source
2024-01-01,AUD,1.4943,USD,Sample Data Generator
2024-01-01,CAD,1.3531,USD,Sample Data Generator
2024-01-01,EUR,0.8895,USD,Sample Data Generator
2024-01-01,GBP,0.7508,USD,Sample Data Generator
2024-01-01,NOK,10.5436,USD,Sample Data Generator
2024-01-01,NZD,1.6777,USD,Sample Data Generator
2024-01-01,SEK,10.7356,USD,Sample Data Generator
2024-01-02,AUD,1.5000,USD,Sample Data Generator
2024-01-02,CAD,1.3147,USD,Sample Data Generator
2024-01-02,EUR,0.8980,USD,Sample Data Generator
2024-01-02,GBP,0.8007,USD,Sample Data Generator
2024-01-02,NOK,10.8104,USD,Sample Data Generator
2024-01-02,NZD,1.6528,USD,Sample Data Generator
2024-01-02,SEK,10.3154,USD,Sample Data Generator
2024-01-03,AUD,1.5140,USD,Sample Data Generator
2024-01-03,CAD,1.2883,USD,Sample Data Generator
2024-01-03,EUR,0.9497,USD,Sample Data Generator
2024-01-03,GBP,0.7820,USD,Sample Data Generator
2024-01-03,NOK,10.8921,USD,Sample Data Generator
2024-01-03,NZD,1.6317,USD,Sample Data Generator
2024-01-03,SEK,10.4007,USD,Sample Data Generator
2024-01-04,AUD,1.4883,USD,Sample Data Generator
2024-01-04,CAD,1.3944,USD,Sample Data Generator
2024-01-04,EUR,0.9248,USD,Sample Data Generator
2024-01-04,GBP,0.7970,USD,Sample Data Generator
2024-01-04,NOK,10.3200,USD,Sample Data Generator
2024-01-04,NZD,1.5945,USD,Sample Data Generator
2024-01-04,SEK,10.7346,USD,Sample Data Generator
2024-01-05,AUD,1.6155,USD,Sample Data Generator
2024-01-05,CAD,1.3544,USD,Sample Data Generator
2024-01-05,EUR,0.8926,USD,Sample Data Generator
2024-01-05,GBP,0.7963,USD,Sample Data Generator
2024-01-05,NOK,10.3213,USD,Sample Data Generator
2024-01-05,NZD,1.5944,USD,Sample Data Generator
2024-01-05,SEK,10.3151,USD,Sample Data Generator
2024-01-06,AUD,1.6030,USD,Sample Data Generator
2024-01-06,CAD,1.3575,USD,Sample Data Generator
2024-01-06,EUR,0.9500,USD,Sample Data Generator
2024-01-06,GBP,0.7428,USD,Sample Data Generator
2024-01-06,NOK,11.0903,USD,Sample Data Generator
2024-01-06,NZD,1.6670,USD,Sample Data Generator
2024-01-06,SEK,10.3995,USD,Sample Data Generator
2024-01-07,AUD,1.4801,USD,Sample Data Generator
2024-01-07,CAD,1.3913,USD,Sample Data Generator
2024-01-07,EUR,0.9339,USD,Sample Data Generator
2024-01-07,GBP,0.7468,USD,Sample Data Generator
2024-01-07,NOK,10.4093,USD,Sample Data Generator
2024-01-07,NZD,1.5959,USD,Sample Data Generator
2024-01-07,SEK,10.2620,USD,Sample Data Generator
2024-01-08,AUD,1.5216,USD,Sample Data Generator
2024-01-08,CAD,1.3055,USD,Sample Data Generator
2024-01-08,EUR,0.8805,USD,Sample Data Generator
2024-01-08,GBP,0.7938,USD,Sample Data Generator
2024-01-08,NOK,10.9434,USD,Sample Data Generator
2024-01-08,NZD,1.6997,USD,Sample Data Generator
2024-01-08,SEK,10.5461,USD,Sample Data Generator
2024-01-09,AUD,1.5426,USD,Sample Data Generator
2024-01-09,CAD,1.3717,USD,Sample Data Generator
2024-01-09,EUR,0.8969,USD,Sample Data Generator
2024-01-09,GBP,0.7987,USD,Sample Data Generator
2024-01-09,NOK,10.3071,USD,Sample Data Generator
2024-01-09,NZD,1.5809,USD,Sample Data Generator
2024-01-09,SEK,10.3914,USD,Sample Data Generator
2024-01-10,AUD,1.4885,USD,Sample Data Generator
2024-01-10,CAD,1.2967,USD,Sample Data Generator
2024-01-10,EUR,0.9200,USD,Sample Data Generator
2024-01-10,GBP,0.7999,USD,Sample Data Generator
2024-01-10,NOK,10.3098,USD,Sample Data Generator
2024-01-10,NZD,1.6174,USD,Sample Data Generator
2024-01-10,SEK,10.8514,USD,Sample Data Generator
2024-01-11,AUD,1.5583,USD,Sample Data Generator
2024-01-11,CAD,1.2888,USD,Sample Data Generator
2024-01-11,EUR,0.9540,USD,Sample Data Generator
2024-01-11,GBP,0.7831,USD,Sample Data Generator
2024-01-11,NOK,10.3148,USD,Sample Data Generator
2024-01-11,NZD,1.6465,USD,Sample Data Generator
2024-01-11,SEK,10.0179,USD,Sample Data Generator
2024-01-12,AUD,1.5808,USD,Sample Data Generator
2024-01-12,CAD,1.4120,USD,Sample Data Generator
2024-01-12,EUR,0.9637,USD,Sample Data Generator
2024-01-12,GBP,0.7469,USD,Sample Data Generator
2024-01-12,NOK,10.8050,USD,Sample Data Generator
2024-01-12,NZD,1.5849,USD,Sample Data Generator
2024-01-12,SEK,10.4144,USD,Sample Data Generator
2024-01-13,AUD,1.4864,USD,Sample Data Generator
2024-01-13,CAD,1.3078,USD,Sample Data Generator
2024-01-13,EUR,0.9185,USD,Sample Data Generator
2024-01-13,GBP,0.7737,USD,Sample Data Generator
2024-01-13,NOK,11.1685,USD,Sample Data Generator
2024-01-13,NZD,1.6772,USD,Sample Data Generator
2024-01-13,SEK,10.5841,USD,Sample Data Generator
2024-01-14,AUD,1.5264,USD,Sample Data Generator
2024-01-14,CAD,1.3687,USD,Sample Data Generator
2024-01-14,EUR,0.9465,USD,Sample Data Generator
2024-01-14,GBP,0.8159,USD,Sample Data Generator
2024-01-14,NOK,10.3338,USD,Sample Data Generator
2024-01-14,NZD,1.6420,USD,Sample Data Generator
2024-01-14,SEK,10.9568,USD,Sample Data Generator
2024-01-15,AUD,1.5325,USD,Sample Data Generator
2024-01-15,CAD,1.3116,USD,Sample Data Generator
2024-01-15,EUR,0.8884,USD,Sample Data Generator
2024-01-15,GBP,0.8008,USD,Sample Data Generator
2024-01-15,NOK,10.8077,USD,Sample Data Generator
2024-01-15,NZD,1.7351,USD,Sample Data Generator
2024-01-15,SEK,10.3820,USD,Sample Data Generator
2024-01-16,AUD,1.5044,USD,Sample Data Generator
2024-01-16,CAD,1.3194,USD,Sample Data Generator
2024-01-16,EUR,0.9339,USD,Sample Data Generator
2024-01-16,GBP,0.7559,USD,Sample Data Generator
2024-01-16,NOK,10.8778,USD,Sample Data Generator
2024-01-16,NZD,1.7056,USD,Sample Data Generator
2024-01-16,SEK,11.0765,USD,Sample Data Generator
2024-01-17,AUD,1.5866,USD,Sample Data Generator
2024-01-17,CAD,1.3299,USD,Sample Data Generator
2024-01-17,EUR,0.9306,USD,Sample Data Generator
2024-01-17,GBP,0.8018,USD,Sample Data Generator
2024-01-17,NOK,11.4003,USD,Sample Data Generator
2024-01-17,NZD,1.7046,USD,Sample Data Generator
2024-01-17,SEK,10.7254,USD,Sample Data Generator
2024-01-18,AUD,1.5362,USD,Sample Data Generator
2024-01-18,CAD,1.2947,USD,Sample Data Generator
2024-01-18,EUR,0.9002,USD,Sample Data Generator
2024-01-18,GBP,0.8189,USD,Sample Data Generator
2024-01-18,NOK,10.6170,USD,Sample Data Generator
2024-01-18,NZD,1.5820,USD,Sample Data Generator
2024-01-18,SEK,10.0822,USD,Sample Data Generator
2024-01-19,AUD,1.5753,USD,Sample Data Generator
2024-01-19,CAD,1.3043,USD,Sample Data Generator
2024-01-19,EUR,0.9722,USD,Sample Data Generator
2024-01-19,GBP,0.7794,USD,Sample Data Generator
2024-01-19,NOK,10.4643,USD,Sample Data Generator
2024-01-19,NZD,1.6145,USD,Sample Data Generator
2024-01-19,SEK,10.1575,USD,Sample Data Generator
2024-01-20,AUD,1.5340,USD,Sample Data Generator
2024-01-20,CAD,1.4043,USD,Sample Data Generator
2024-01-20,EUR,0.8813,USD,Sample Data Generator
2024-01-20,GBP,0.8055,USD,Sample Data Generator
2024-01-20,NOK,10.3819,USD,Sample Data Generator
2024-01-20,NZD,1.6325,USD,Sample Data Generator
2024-01-20,SEK,10.9381,USD,Sample Data Generator
2024-01-21,AUD,1.5212,USD,Sample Data Generator
2024-01-21,CAD,1.4075,USD,Sample Data Generator
2024-01-21,EUR,0.9067,USD,Sample Data Generator
2024-01-21,GBP,0.8196,USD,Sample Data Generator
2024-01-21,NOK,10.9335,USD,Sample Data Generator
2024-01-21,NZD,1.7287,USD,Sample Data Generator
2024-01-21,SEK,10.7241,USD,Sample Data Generator
2024-01-22,AUD,1.5146,USD,Sample Data Generator
2024-01-22,CAD,1.3179,USD,Sample Data Generator
2024-01-22,EUR,0.8839,USD,Sample Data Generator
2024-01-22,GBP,0.7704,USD,Sample Data Generator
2024-01-22,NOK,10.5950,USD,Sample Data Generator
2024-01-22,NZD,1.6843,USD,Sample Data Generator
2024-01-22,SEK,11.0445,USD,Sample Data Generator
2024-01-23,AUD,1.6072,USD,Sample Data Generator
2024-01-23,CAD,1.4137,USD,Sample Data Generator
2024-01-23,EUR,0.8988,USD,Sample Data Generator
2024-01-23,GBP,0.7579,USD,Sample Data Generator
2024-01-23,NOK,10.6685,USD,Sample Data Generator
2024-01-23,NZD,1.7452,USD,Sample Data Generator
2024-01-23,SEK,10.6530,USD,Sample Data Generator
2024-01-24,AUD,1.5970,USD,Sample Data Generator
2024-01-24,CAD,1.3754,USD,Sample Data Generator
2024-01-24,EUR,0.9181,USD,Sample Data Generator
2024-01-24,GBP,0.7572,USD,Sample Data Generator
2024-01-24,NOK,11.3109,USD,Sample Data Generator
2024-01-24,NZD,1.6740,USD,Sample Data Generator
2024-01-24,SEK,10.5349,USD,Sample Data Generator
2024-01-25,AUD,1.6369,USD,Sample Data Generator
2024-01-25,CAD,1.3683,USD,Sample Data Generator
